"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 27 15:59:10 CST 2022","Fri May 27 15:59:12 CST 2022","2087","runAll","source","com.yolocast.qa.zsc.ApiTest.SettingTest.loginTest","com.yolocast.qa.zsc.ApiTest.SettingTest.loginTest","loginYolocast","loginYolocast",""
"failed","Fri May 27 15:59:41 CST 2022","Fri May 27 15:59:43 CST 2022","1367","runAll","activity","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","createEvent","创建obs推流的活动",""
"failed","Fri May 27 15:59:53 CST 2022","Fri May 27 15:59:54 CST 2022","1215","runAll","activity","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","getScheduleEventsList","获取前几个预约活动的activityId",""
"skipped","Fri May 27 15:59:25 CST 2022","Fri May 27 15:59:25 CST 2022","1","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","deleteFirstSource","deleteFirstSource",""
"passed","Fri May 27 15:59:48 CST 2022","Fri May 27 15:59:48 CST 2022","28","runAll","activity","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","com.yolocast.qa.zsc.ApiTest.ActivityListTest.ActivityTest","emptyTest","emptyTest",""
"skipped","Fri May 27 15:59:30 CST 2022","Fri May 27 15:59:30 CST 2022","1","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","updateSource","updateSource",""
"failed","Fri May 27 15:59:18 CST 2022","Fri May 27 15:59:20 CST 2022","1732","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","getSourceList","获取前两个SourceId",""
"skipped","Fri May 27 15:59:35 CST 2022","Fri May 27 15:59:35 CST 2022","0","runAll","source","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","com.yolocast.qa.zsc.ApiTest.SourceTest.SourceTest","updateSourceStreamKey","updateSourceStreamKey",""
