"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 13 23:04:41 CST 2024","Thu Jun 13 23:04:41 CST 2024","0","runAll","source","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","updateSource","updateSource",""
"failed","Thu Jun 13 23:04:40 CST 2024","Thu Jun 13 23:04:41 CST 2024","976","runAll","source","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","getSourceList","获取前两个SourceId",""
"skipped","Thu Jun 13 23:04:41 CST 2024","Thu Jun 13 23:04:41 CST 2024","0","runAll","source","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","deleteFirstSource","deleteFirstSource",""
"skipped","Thu Jun 13 23:04:41 CST 2024","Thu Jun 13 23:04:41 CST 2024","0","runAll","source","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","com.dddd.qa.zybh.ApiTest.SourceTest.SourceTest","updateSourceStreamKey","updateSourceStreamKey",""
"passed","Thu Jun 13 23:04:45 CST 2024","Thu Jun 13 23:04:45 CST 2024","124","runAll","activity","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","getToken","getToken",""
"failed","Thu Jun 13 23:04:42 CST 2024","Thu Jun 13 23:04:43 CST 2024","1151","runAll","activity","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","createEvent","创建obs推流的活动",""
"failed","Thu Jun 13 23:04:43 CST 2024","Thu Jun 13 23:04:45 CST 2024","1366","runAll","activity","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","getScheduleEventsList","获取前几个预约活动的activityId",""
"failed","Thu Jun 13 23:04:38 CST 2024","Thu Jun 13 23:04:39 CST 2024","1049","runAll","source","com.dddd.qa.zybh.ApiTest.SettingTest.loginTest","com.dddd.qa.zybh.ApiTest.SettingTest.loginTest","loginYolocast","loginYolocast",""
"broken","Thu Jun 13 23:04:41 CST 2024","Thu Jun 13 23:04:42 CST 2024","698","runAll","activity","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","com.dddd.qa.zybh.ApiTest.ActivityListTest.ActivityTest","checkData","checkData",""
